,source,title,url,published_at,description,content,fetched_from,published_at_parsed
0,Fortune,Inside the rise of Alexandr Wang and Meta’s $14 billion bet that the MIT dropout will help bring AI supremacy,https://fortune.com/2025/06/22/inside-rise-scale-alexandr-wang-meta-zuckerberg-14-billion-deal-acquihire-ai-supremacy-race/,2025-06-22T16:01:00Z,"Wang turned Scale into a vital piece of the AI revolution, and briefly claimed the title of youngest self-made billionaire in the process. Now Meta's Mark Zuckerberg is paying up to bring him in house.","As their heads were measured and fitted for custom-made, felt cowboy hats, the 100 or so guests assembled in Utahs scenic Wasatch Mountains in November 2023 had ample reason to feel special. The grou… [+19382 chars]",newsapi,2025-06-22 16:01:00+00:00
1,Securityaffairs.com,SECURITY AFFAIRS MALWARE NEWSLETTER ROUND 50,https://securityaffairs.com/179215/breaking-news/security-affairs-malware-newsletter-round-50.html,2025-06-22T15:22:03Z,"Security Affairs Malware newsletter includes a collection of the best articles and research on malware in the international landscape Critical Langflow Vulnerability (CVE-2025-3248) Actively Exploited to Deliver Flodrix Botnet   Predator Still Active, with Ne…","SECURITY AFFAIRS MALWARE NEWSLETTER ROUND 50
 | Security Affairs newsletter Round 529 by Pierluigi Paganini INTERNATIONAL EDITION
 | Iran confirmed it shut down internet to protect the country agai… [+174451 chars]",newsapi,2025-06-22 15:22:03+00:00
2,Securityaffairs.com,Security Affairs newsletter Round 529 by Pierluigi Paganini – INTERNATIONAL EDITION,https://securityaffairs.com/179208/breaking-news/security-affairs-newsletter-round-529-by-pierluigi-paganini-international-edition.html,2025-06-22T15:06:59Z,"A new round of the weekly Security Affairs newsletter has arrived! Every week, the best security articles from Security Affairs are free in your email box. Enjoy a new round of the weekly SecurityAffairs newsletter, including the international press. Iran con…","SECURITY AFFAIRS MALWARE NEWSLETTER ROUND 50
 | Security Affairs newsletter Round 529 by Pierluigi Paganini INTERNATIONAL EDITION
 | Iran confirmed it shut down internet to protect the country agai… [+174451 chars]",newsapi,2025-06-22 15:06:59+00:00
3,Werd.io,The New Surveillance State: Why Data Privacy Is Now Essential to Democracy,https://werd.io/the-new-surveillance-state-why-data-privacy-is-now-essential-to-democracy/,2025-06-22T13:34:56Z,"""When the government can track where you go, whom you associate with, and what you spend your money on, it [...] chills freedom of expression, undermines your freedom to travel, and destroys the fundamental privacy right that underlies American liberty.""","Link: Laura Maccleery in TechPolicy.Press.
Data privacy was always essential to democracy, but now that democracy itself is in dire straits the need for strong protections are more obviously pressin… [+2343 chars]",newsapi,2025-06-22 13:34:56+00:00
4,The Conversation Africa,4 reasons to be concerned about Bill C-4’s threats to Canadian privacy and sovereignty,https://theconversation.com/4-reasons-to-be-concerned-about-bill-c-4s-threats-to-canadian-privacy-and-sovereignty-259331,2025-06-22T11:54:08Z,"If privacy is important anywhere, it is in the context of politics. If it is important at any time, that time is now.","In Canada, federal political parties are not governed by basic standards of federal privacy law. If passed, Bill C-4, also known as the Making Life More Affordable for Canadians Act, would also make … [+7501 chars]",newsapi,2025-06-22 11:54:08+00:00
5,Pypi.org,rxnn 0.2.62,https://pypi.org/project/rxnn/0.2.62/,2025-06-22T11:18:58Z,RxNN: Reactive Neural Networks Platform,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",newsapi,2025-06-22 11:18:58+00:00
6,Pypi.org,rxnn 0.2.61,https://pypi.org/project/rxnn/0.2.61/,2025-06-22T11:17:42Z,RxNN: Reactive Neural Networks Platform,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",newsapi,2025-06-22 11:17:42+00:00
7,Torrentfreak.com,Sky Views Personal Data as a Potential Weapon in IPTV Piracy War,https://torrentfreak.com/sky-views-personal-data-as-new-weapon-in-iptv-piracy-war-250622/,2025-06-22T10:23:03Z,"Ireland's Data Protection Commission (DPC) says it has been ""engaging with Sky for some time"" over the use of personal data to crackdown on streaming piracy, including IPTV services accessed via set-top boxes. Ongoing engagement and a meeting between the DPC …","Sky’s war on TV piracy has raged for well over thirty years and despite the passing of time, the goal remains the same. 
In broad terms, pirates retain their original goals too, but how that can be … [+4915 chars]",newsapi,2025-06-22 10:23:03+00:00
8,Audioz.download,Sonible Puredeess v1.0.0-R2R,https://audioz.download/software/win/279249-download_sonible-puredeess-v100-r2r.html,2025-06-22T10:10:57Z,<!--TBegin:https://audioz.download/uploads/posts/2025-06/1750586424_3067094377.webp|--><!--TEnd-->Team R2R | 22 Jun 2025 | 29.2MB The AI-powered de-esser designed for creators Simple de-essing for removing the sharp edges from a vocal or speech recording – ge…,"Team R2R | 22 Jun 2025 | 29.2MB
 The AI-powered de-esser designed for creators Simple de-essing for removing the sharp edges from a vocal or speech recording get a smoother and more professional sou… [+1859 chars]",newsapi,2025-06-22 10:10:57+00:00
9,Pypi.org,rxnn 0.2.59,https://pypi.org/project/rxnn/0.2.59/,2025-06-22T07:02:21Z,RxNN: Reactive Neural Networks Platform,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",newsapi,2025-06-22 07:02:21+00:00
