,source,title,url,published_at,description,content,fetched_from,published_at_parsed
0,The Irish Times,Social workers ‘afraid’ to share information about children due to GDPR concerns,https://www.irishtimes.com/ireland/social-affairs/2025/09/21/social-workers-afraid-to-share-information-about-children-due-to-gdpr-concerns/,2025-09-21T12:49:23Z,"Better communication needed between agencies if there are concerns about a child’s welfare, expert says","Social workers are often afraid to share information about children due to GDPR concerns, the chief operations officer of the Irish Association of Social Workers (IASW) has said.
Caroline Strong sai… [+3391 chars]",newsapi,2025-09-21 12:49:23+00:00
1,Practical Ecommerce,Facial Recognition Bans Spread Globally,https://www.practicalecommerce.com/facial-recognition-bans-spread-globally,2025-09-21T11:51:19Z,"Biometric technology is among the most promising trends in retail, but Australia's Kmart decision exemplifies growing regulatory opposition.
The post Facial Recognition Bans Spread Globally appeared first on Practical Ecommerce.",A ruling last week in Australia makes using facial recognition to combat fraud almost impossible and is the latest example of global regulators’ growing disapproval of biometric technology in retail … [+5294 chars],newsapi,2025-09-21 11:51:19+00:00
2,ETF Daily News,"Baader Bank Aktiengesellschaft Cuts Stock Holdings in AMETEK, Inc. $AME",https://www.etfdailynews.com/2025/09/21/baader-bank-aktiengesellschaft-cuts-stock-holdings-in-ametek-inc-ame/,2025-09-21T08:40:59Z,"Baader Bank Aktiengesellschaft decreased its stake in shares of AMETEK, Inc. (NYSE:AME – Free Report) by 7.4% during the 2nd quarter, according to the company in its most recent disclosure with the Securities & Exchange Commission. The fund owned 1,135 shares…","Baader Bank Aktiengesellschaft decreased its stake in shares of AMETEK, Inc. (NYSE:AME – Free Report) by 7.4% during the 2nd quarter, according to the company in its most recent disclosure with the S… [+6049 chars]",newsapi,2025-09-21 08:40:59+00:00
3,Finextra,Data Sovereignty and AI: Building a Secure and Compliant Future for Financial Institutions,https://www.finextra.com/blogposting/29407/data-sovereignty-and-ai-building-a-secure-and-compliant-future-for-financial-institutions,2025-09-21T08:38:09Z,"In the world of finance, data is the lifeblood. It fuels decision-making, drives innovation, and un","In the world of finance, data is the lifeblood. It fuels decision-making, drives innovation, and underpins the trust that customers place in financial institutions. However, with the increasing compl… [+7744 chars]",newsapi,2025-09-21 08:38:09+00:00
4,ETF Daily News,"Swedbank AB Has $14.89 Million Stock Position in AMETEK, Inc. $AME",https://www.etfdailynews.com/2025/09/21/swedbank-ab-has-14-89-million-stock-position-in-ametek-inc-ame/,2025-09-21T08:02:58Z,"Swedbank AB increased its stake in shares of AMETEK, Inc. (NYSE:AME – Free Report) by 8.0% during the 2nd quarter, according to the company in its most recent 13F filing with the Securities & Exchange Commission. The institutional investor owned 82,255 shares…","Swedbank AB increased its stake in shares of AMETEK, Inc. (NYSE:AME – Free Report) by 8.0% during the 2nd quarter, according to the company in its most recent 13F filing with the Securities &amp; Exc… [+5226 chars]",newsapi,2025-09-21 08:02:58+00:00
5,ETF Daily News,Brite-Strike Tactical Illumination Products (OTCMKTS:BSTK) vs. One Stop Systems (NASDAQ:OSS) Head-To-Head Comparison,https://www.etfdailynews.com/2025/09/21/brite-strike-tactical-illumination-products-otcmktsbstk-vs-one-stop-systems-nasdaqoss-head-to-head-comparison/,2025-09-21T06:46:49Z,"Brite-Strike Tactical Illumination Products (OTCMKTS:BSTK – Get Free Report) and One Stop Systems (NASDAQ:OSS – Get Free Report) are both small-cap computer and technology companies, but which is the superior business? We will compare the two companies based …","Brite-Strike Tactical Illumination Products (OTCMKTS:BSTK – Get Free Report) and One Stop Systems (NASDAQ:OSS – Get Free Report) are both small-cap computer and technology companies, but which is the… [+5876 chars]",newsapi,2025-09-21 06:46:49+00:00
6,Juancole.com,Ghosts of E. Germany’s Stasi: How technology is used to supercharge Monitoring and Control,https://www.juancole.com/2025/09/technology-supercharge-monitoring.html,2025-09-21T04:04:31Z,Written byTactical Tech Written bySafa This article was written by Safa for the series “Digitized Divides” and originally published on tacticaltech.org. An edited version is republished by Global Voices under a partnership agreement.  ( Globalvoices.org ) - S…,"This article was written by Safa for the series “Digitized Divides” andoriginally published on tacticaltech.org. An edited version is republished by Global Voices under a partnership agreement. 
( G… [+9312 chars]",newsapi,2025-09-21 04:04:31+00:00
7,Modernanalyst.com,Applying Agile & Hybrid Frameworks in Large Projects,https://www.modernanalyst.com/Resources/Articles/tabid/115/ID/7041/Applying-Agile-Hybrid-Frameworks-in-Large-Projects.aspx,2025-09-21T04:01:00Z,"This article explores practical techniques that BAs can apply in large projects: how to prioritize backlogs when competing domains fight for attention, how to bridge Agile with Waterfall governance, how to contribute meaningfully in scaled frameworks, and how…","Business Analysts (BAs) often find themselves in the most complex of delivery environments: projects that are too large for a single Scrum team, too regulatory-heavy for pure agility, and too fast-pa… [+13059 chars]",newsapi,2025-09-21 04:01:00+00:00
8,Pypi.org,mct-nightly 2.4.0.20250921.600,https://pypi.org/project/mct-nightly/2.4.0.20250921.600/,2025-09-21T00:06:02Z,A Model Compression Toolkit for neural networks,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",newsapi,2025-09-21 00:06:02+00:00
9,Space Daily,Advancing airspace integration for remotely piloted aircraft,https://www.spacedaily.com/reports/Advancing_airspace_integration_for_remotely_piloted_aircraft_999.html,2025-09-20T23:47:12Z,"Los Angeles CA (SPX) Sep 22, 2025


NASA and partner organizations have completed a new series of flight tests supporting the safe integration of remotely piloted aircraft, including future eVTOL systems, into national airspace. The research effort focused on…","Advancing airspace integration for remotely piloted aircraftby Clarence OxfordLos Angeles CA (SPX) Sep 22, 2025
NASA and partner organizations have completed a new series of flight tests supporting … [+1741 chars]",newsapi,2025-09-20 23:47:12+00:00
